name;class;mean_psEntire;std_psEntire;peak_psEntire;min_psEntire;peak_frequency_psEntire;Q1_psEntire;Q2_psEntire;Q3_psEntire;Q_range_psEntire;amplitude_psEntire;spec_centroid_psEntire;kurtosis_psEntire;skewness_psEntire;coef_var_psEntire;flatness_psEntire;1st_moment_psEntire;2nd_moment_psEntire;rms_psEntire;crest_factor_psEntire;line_length_psEntire;nonlinear_energy_psEntire;Hurst_exponent_psEntire;Hjorth_activity_psEntire;Hjorth_mobility_psEntire;Hjorth_complexity_psEntire;Shannon_entropy_psEntire;Renyi_entropy_psEntire;spectral_entropy_psEntire;approx_entropy_psEntire
Z001;Z;4973.045251601494;7326.2129712684855;56220.9175769469;6.3042534823696466;1.3983719794971932;543.551492558365;1573.6608378033022;7403.119439743465;6859.5679471851;56214.61332346453;14.053115362899508;12.160314650301249;2.967638178122199;0.6788016224896126;0.005233620925529879;97212509.06831448;1025074433903.6786;237.41444495547154;236.80495762375142;1127437.7154200636;24047929632.601643;0.5780391949112621;53673396.50038261;0.2453503608286475;1.4634494647617513;10.441906704542241;3.1433271299920458;-27849401.38549737;0.009253657357088052
Z002;Z;6777.873220891178;8672.415493261511;65170.55256976806;86.83692726601588;1.440746887966805;1089.5126415830728;3943.675531733728;9032.63070216963;7943.1180605865575;65083.715642502044;16.20000654409236;9.22243709763711;2.6825745539252988;0.7815438762312071;0.004859130495721485;152734012.43205044;1675938085132.1096;295.12009507132404;220.8272281628866;1738514.2566567424;52417739085.12936;0.5703677814454935;75210790.4877623;0.3479641475723855;1.608276564993083;10.441906704542241;3.1433271299920458;-38576281.220409386;0.004060021473597075
Z003;Z;6132.153283638128;10008.841384609086;85600.1410845142;19.052352648536573;1.1864974371491337;618.7424484784863;1796.100970168372;7038.118670632866;6419.37622215438;85581.08873186566;13.881045451851339;11.878976670701594;3.0508375377945165;0.6126736400346733;0.004470411798913705;118402891.54102932;1804742472890.4805;314.7239952892911;271.9847941871461;1538904.5721687367;49471906023.028206;0.5861151968559484;100176905.86226353;0.2677235995028774;1.5698857120270922;10.441906704542241;3.1433271299920458;-35496596.99548252;0.014616765234328533
Z004;Z;6142.4452603499285;5715.946146350849;36296.868727322544;215.77275753066283;1.016997803270686;1939.1680482802883;4170.784078133247;8790.456093802131;6851.288045521843;36081.09596979188;19.695384882278834;2.5329205540421498;1.5282576256583713;1.07461566345781;0.0058957322286239105;168280152.5176015;1438966376110.9924;224.97171980493493;161.3396953127899;1359086.4102907109;19613250048.590668;0.5893546084202556;32672040.347983114;0.2907949359342996;1.5045430354390847;10.441906704542241;3.1433271299920458;-33777792.13890171;0.0012749847751036825
Z005;Z;5365.446998379625;9099.079743639873;85246.00596850285;36.881308357956826;1.2288723456187456;646.4957197439885;2027.752278172136;5697.986242653113;5051.490522909124;85209.1246601449;14.751797193754816;16.1620611933888;3.563782273915424;0.5896691917806299;0.005020992604059198;110097630.48974603;1363010179373.1016;283.2253304904837;300.98298701205715;1278973.2811831117;37909079201.99402;0.6015978924819112;82793252.18111746;0.25135814263522016;1.5242332087465342;10.441906704542241;3.1433271299920458;-30588006.668731004;0.010626710920244697
Z006;Z;4855.326465506565;6467.385207783684;74246.11200292481;76.36798677109314;1.0593727117402978;846.7373627777471;2219.266724190458;6628.213180094972;5781.475817317225;74169.74401615372;16.771308865953877;27.10202616496371;3.8763866442853088;0.7507402620247577;0.005942483685744434;113269380.09908858;969087720242.1161;216.83506490427257;342.40823565922176;1238028.8057075588;29163888812.783543;0.562832373743628;41827071.425859205;0.33988758203346825;1.6636334382459919;10.441906704542241;3.1433271299920458;-26688250.14045705;0.01004402591008624
Z007;Z;6067.480754881701;6861.849458493009;59094.90784304937;82.22369341241165;1.016997803270686;1658.6139150569718;3415.1797653519848;8432.541791797263;6773.927876740291;59012.68414963696;17.9360395983464;10.139107723576489;2.6077746658870318;0.8842340234340019;0.005659643143303767;151377765.9387322;1298694960963.1487;245.59278585562765;240.62151352356278;1487777.4828446168;35995639822.48001;0.5852257929584385;47084977.9910208;0.34363342325253604;1.688893550144611;10.441906704542241;3.1433271299920458;-33697226.7298682;0.0002776507023547481
Z008;Z;2826.907653767478;3821.140611386673;35245.38972979154;58.184158287051694;2.8391188674639984;580.7227421193385;1342.7918693547058;3415.1284260673865;2834.405683948048;35187.205571504484;16.93718046301457;14.272757748917446;3.1444349228154844;0.739807283025266;0.008199794377767902;66600864.512034416;338588162791.49396;127.44382462998158;276.5562774981248;657178.4308664505;7612000777.735785;0.587843213739456;14601115.571988517;0.28914704254839607;1.548905975185529;10.441906704542241;3.1433271299920458;-14628919.651544131;0.012622097088831552
Z009;Z;2630.579476781459;5593.850128916301;53972.68004459121;25.04487491695114;2.8391188674639984;265.65183737652063;779.2912758574427;2427.192027710197;2161.5401903336765;53947.63516967426;10.371473010213801;30.301049104348763;4.952597614554761;0.4702627736097539;0.007059633113972174;37950630.80612379;211088483268.6378;165.74149371209273;325.6437409593183;584793.3620893849;12208153702.915527;0.5276859478316982;31291159.26477692;0.22645227332912465;1.4734370905885494;10.441906704542241;3.1433271299920458;-14181007.435760098;0.05163982513986909
Z010;Z;4395.081760478717;11855.217661832234;146584.83121469276;13.176617421481518;1.016997803270686;358.36408350196257;1274.513743664009;3513.688642121013;3155.3245586190505;146571.6545972713;9.37277741407472;50.773134635183716;6.454293527822109;0.3707297399210681;0.004849454559986417;57301025.173158705;531625133247.7717;339.0082901194929;432.3930578896016;1068716.8081443708;60633692584.208466;0.517857180388093;140546185.80941892;0.23657024655297598;1.580035179372877;10.441906704542241;3.1433271299920458;-25659054.81608305;0.02594229129303649
