name;class;mean_psAlpha;std_psAlpha;peak_psAlpha;min_psAlpha;peak_frequency_psAlpha;Q1_psAlpha;Q2_psAlpha;Q3_psAlpha;Q_range_psAlpha;amplitude_psAlpha;spec_centroid_psAlpha;kurtosis_psAlpha;skewness_psAlpha;coef_var_psAlpha;flatness_psAlpha;1st_moment_psAlpha;2nd_moment_psAlpha;rms_psAlpha;crest_factor_psAlpha;line_length_psAlpha;nonlinear_energy_psAlpha;Hurst_exponent_psAlpha;Hjorth_activity_psAlpha;Hjorth_mobility_psAlpha;Hjorth_complexity_psAlpha;Shannon_entropy_psAlpha;Renyi_entropy_psAlpha;spectral_entropy_psAlpha;approx_entropy_psAlpha
Z001;Z;10121.074022498071;4190.913211888459;21053.49562587434;3936.0629300503897;8.220732243104711;6895.742697287607;9227.29913833812;13030.686670395455;6134.943973107847;17117.43269582395;9.764652275934075;-0.33378346843153883;0.647921490690118;2.415004441940575;0.005223154204954928;9289904.237936206;107631282783.9581;1129.8648616164685;18.633640483122598;132290.6797776245;2146623722.0586054;0.5097268296568871;17563753.549581237;0.46204566284853105;1.518198205442504;6.554588851677637;1.9731278535996983;-3844969.341420987;0.010810916104217583
Z002;Z;10469.588947224325;8288.914988829338;35704.75759080502;2874.819548711133;10.932726385159874;4854.071704141315;6866.616416154224;12258.740989275348;7404.669285134032;32829.93804209389;10.454981082211862;1.0748882715160288;1.4559691907437602;1.263083161226023;0.004765624958144103;10289179.311885884;180142438912.68933;1377.3177927757306;25.92339820053341;180860.0834897;5287617877.294224;0.4615812758764347;68706111.69203965;0.37392105403358067;1.6970536529842557;6.554588851677637;1.9731278535996983;-4067985.399336366;0.010810916104217583
Z003;Z;7743.073765608609;3787.390704401073;17828.917403635798;2144.5990121215173;9.407229680253845;4228.491316623038;7811.866796704197;10262.083528465537;6033.592211842499;15684.31839151428;9.697261998314733;-0.7746436116254767;0.4061637513945212;2.0444349078142117;0.005953758279892592;7058141.807874109;66756139767.72668;889.0559162430718;20.053763861081258;97587.64174334788;1238838157.3999245;0.46105579566008675;14344328.347783655;0.37626524672669875;1.4705739326696876;6.554588851677637;1.9731278535996983;-2868863.543991894;0.010810916104217583
Z004;Z;9323.972404309172;3806.824686168895;21120.49495095491;2944.2515260946193;10.466602391994144;6561.021262414968;8463.213849068783;11035.185828317271;4474.164565902303;18176.24342486029;10.118971449297048;0.4265038960504808;0.9829309569055791;2.4492781183713017;0.005491757132528458;8868806.992004378;97549487239.25357;1038.7614125524271;20.332383062880613;133985.1493541221;2089074299.8787332;0.5249113115477424;14491914.191224907;0.5437409380783248;1.534853867854904;6.554588851677637;1.9731278535996983;-3508875.0353499977;0.010810916104217583
Z005;Z;4883.66309874888;2755.497521460124;10755.997013947563;866.7024918006998;9.873353673419576;2299.1011368192158;4908.521232937637;7006.660099154813;4707.558962335597;9889.294522146864;9.591064364329725;-1.1307342055223122;0.2761313180173592;1.772334418998516;0.007519356963917184;4402915.548697432;27997777501.353245;578.3591228902385;18.59743641666191;68162.89583923345;665091567.9387199;0.5243212327477278;7592766.590772886;0.385134797856068;1.5099893678658807;6.554588851677637;1.9731278535996983;-1726624.1128115663;0.010810916104217583
Z006;Z;5388.676422119899;3159.277947414825;14494.217987892727;1117.9250050713238;9.449604588723457;3420.560849120333;4464.207949322319;6197.555719044728;2776.994869924395;13376.292982821404;9.8259560986899;1.5268176805837763;1.4809533555715018;1.7056670896998305;0.0072736078606013025;4977196.407656777;35726352444.268715;644.2781770960901;22.49683211873092;80964.53024677254;904435375.9919537;0.47889032640323903;9981037.14902163;0.4405676723575351;1.5213561134273885;6.554588851677637;1.9731278535996983;-1922833.2335363955;0.010810916104217583
Z007;Z;6813.267415450433;2288.6289333550917;12039.58680490987;2553.5978066011985;9.407229680253845;4944.929568717072;6566.529974514682;8718.128389741476;3773.1988210244044;9485.988998308672;10.143138904048651;-0.6729079426233904;0.2679775038590585;2.977008337241589;0.006606280846879854;6496144.271822175;49702902852.697655;741.3216724276602;16.240705287197333;129536.06106518251;1661466064.624642;0.5035817674721691;5237822.394590064;0.8417047228905434;1.7174106065115422;6.554588851677637;1.9731278535996983;-2470975.440668236;0.010810916104217583
Z008;Z;4566.901493328593;2131.308642090782;10332.45874777229;1480.3582487349674;11.05985111056871;3116.9045563174345;4190.975875338202;5480.670749725189;2363.7661934077546;8852.100499037324;10.314724606102962;0.32718701129259653;0.9459836497368981;2.142768721121747;0.008126880006816698;4427995.13344717;25286136667.74162;519.8103764080375;19.8773614701019;76132.89890640038;675360314.4376186;0.5336403368239315;4542476.527850853;0.5500327792885756;1.5928804740270675;6.554588851677637;1.9731278535996983;-1590159.1959738168;0.010810916104217583
Z009;Z;5210.868670146473;2522.068418742043;13257.368133632135;1006.6858874722318;11.653099829143276;3282.962017606854;4898.809177663061;6176.477022026751;2893.515004419897;12250.682246159904;10.176095807853066;0.6308604829801352;0.9714790737436813;2.0661091631865998;0.007505566629196488;4984472.089977738;32853725922.01443;597.1027692856715;22.202824732319105;83133.71207094271;772266182.5660799;0.4955992837696869;6360829.1088159885;0.5213671296808128;1.54660437069917;6.554588851677637;1.9731278535996983;-1844215.70595674;0.010810916104217583
Z010;Z;3967.9077735341198;1609.7406502455776;8127.653573792975;1165.4879036606562;11.907349279960949;2971.2027177760315;3715.86416596083;4978.498266476597;2007.2955487005652;6962.165670132319;9.96244072327031;-0.5311510342027841;0.26323299945028;2.4649360584444375;0.008835504557653176;3715824.3229882913;17154746092.765976;441.6549758160069;18.402721623992182;48255.95573119019;253299935.90603465;0.5860796015618089;2591264.9610530552;0.4261712733519239;1.2538090251517138;6.554588851677637;1.9731278535996983;-1355997.535955952;0.010810916104217583
