name;class;mean_psTheta;std_psTheta;peak_psTheta;min_psTheta;peak_frequency_psTheta;Q1_psTheta;Q2_psTheta;Q3_psTheta;Q_range_psTheta;amplitude_psTheta;spec_centroid_psTheta;kurtosis_psTheta;skewness_psTheta;coef_var_psTheta;flatness_psTheta;1st_moment_psTheta;2nd_moment_psTheta;rms_psTheta;crest_factor_psTheta;line_length_psTheta;nonlinear_energy_psTheta;Hurst_exponent_psTheta;Hjorth_activity_psTheta;Hjorth_mobility_psTheta;Hjorth_complexity_psTheta;Shannon_entropy_psTheta;Renyi_entropy_psTheta;spectral_entropy_psTheta;approx_entropy_psTheta
Z001;Z;10105.938728485804;2672.0375040428926;16738.123236501306;3429.9790159949102;7.924107883817428;8147.244727693795;9860.750144436517;11956.138119162813;3808.8933914690188;13308.144220506396;5.930202208898774;-0.15899326345804266;0.21922928546308004;3.7821096123071407;0.005338940746057919;5573514.195871583;59982288420.45837;1083.9482886870287;15.441809735016012;166263.42457602697;2920002258.258827;0.5351853824609032;7139784.4230117705;0.9150741429814908;1.6346534952166416;6.539158811108034;1.9684829485539348;-3778224.696851995;0.010929070532188057
Z002;Z;9632.002058564458;2025.9765392226043;15562.4989622365;5442.15743221898;7.542733707590921;8379.001971480076;9561.404080250288;10935.864032139158;2556.862060659081;10120.341530017518;5.982750921798597;0.07541611630565459;0.26271154723329637;4.7542515286284575;0.005521949978261011;5359205.835101752;54147314933.712555;1020.6472993200729;15.247675639374942;142224.90106892015;2287974929.563617;0.5685084536808519;4104580.9374804003;1.0021766746284875;1.6718193767486185;6.539158811108034;1.9684829485539348;-3577154.5025051935;0.010929070532188057
Z003;Z;15561.747509550667;9332.756030148648;43088.61622981489;2942.7410608164764;4.110366121552356;8886.2359998469;12498.667931215723;19260.418178301938;10374.182178455038;40145.87516899841;5.564933172587261;0.810519700536839;1.220152611428234;1.6674332275781998;0.003957881943781187;8053807.89935729;157089522011.0296;1881.6268432101667;22.89966067677009;367186.35188946745;12790673741.5815;0.5268889773635645;87100335.11827596;0.5942656827029407;1.7073242093024568;6.539158811108034;1.9684829485539348;-6168566.527979488;0.010929070532188057
Z004;Z;8512.332922347021;4382.110019868047;18399.02849525129;2221.5496927815934;5.593487917988773;4309.317157169122;7586.49936868272;12312.170938604007;8002.853781434886;16177.478802469695;5.84303403117614;-0.9122632947897467;0.5261163152053523;1.9425192164854277;0.005622952150229142;4625620.138347646;49097919877.712875;992.784181070529;18.532757517763258;103921.06651749348;1320285750.9819775;0.5486471486725045;19202888.226227935;0.3770684552560697;1.282929490447631;6.539158811108034;1.9684829485539348;-3156346.644638429;0.010929070532188057
Z005;Z;7954.794850281011;3782.4825598215234;16511.070871225755;1968.4846620018184;4.19511593849158;5153.143978998958;7897.732116720108;9997.924179096828;4844.78020009787;14542.586209223937;5.715547705064158;-0.5360641060303957;0.5266392397779355;2.1030618712638187;0.0058870629534898905;4228338.878922523;39272896325.757805;913.3769047691717;18.076952444290704;134206.54151627453;1803506835.0566702;0.526310411273269;14307174.315353986;0.49819304644766726;1.4921356231283787;6.539158811108034;1.9684829485539348;-2922020.08758183;0.010929070532188057
Z006;Z;7540.062916876065;3853.2755125757217;17626.646959898713;1778.7230040553509;5.212113741762265;4370.6742399310615;7182.816167052367;10131.570359056936;5760.896119125874;15847.923955843362;5.70303324083639;-0.10243091542571792;0.6433607655849727;1.9567930951908266;0.006016300426734749;3999114.3391236053;36844736287.05314;878.0494081076084;20.074778021760817;116947.52460221923;1395975265.99805;0.625034311052785;14847732.175815692;0.4751199413002416;1.3518621606794785;6.539158811108034;1.9684829485539348;-2758454.4499456603;0.010929070532188057
Z007;Z;8988.677492940133;6480.6865412650795;30298.03809061835;1830.3735396014733;4.0256163046131315;4479.6188363328965;7302.102938911407;10057.635819151688;5578.016982818792;28467.664551016875;5.337159888537246;1.9422790998002135;1.580046284934575;1.3869946394885309;0.005279208798795219;4461582.833867538;54607453655.792786;1149.079206485171;26.367232058175226;130192.21449606022;2549416754.153951;0.5297719145986123;41999298.046134345;0.33414309614432275;1.621013757601962;6.539158811108034;1.9684829485539348;-3384583.3863874623;0.010929070532188057
Z008;Z;3981.094507980897;1965.678878693701;8832.983848429725;889.1297766854502;5.678237734927997;2580.750318539798;3408.170260079841;5744.89596854465;3164.1456500048516;7943.854071744275;5.971119512571969;-0.5335239533982179;0.7034883987731936;2.0253025817861703;0.008706913019956667;2210757.972113799;10934703900.685154;460.3996269677285;19.18547134063788;88329.10736864101;620396697.3862092;0.5128632773692589;3863893.4541425263;0.7598026661281124;1.6381136035860233;6.539158811108034;1.9684829485539348;-1351842.797593488;0.010929070532188057
Z009;Z;6226.65192916493;3099.012818840442;13871.228196029266;1802.3544354392238;5.042614107883818;3706.959859911095;5473.900234787895;8397.57473171307;4690.614871801975;12068.873760590042;5.894537442772174;-0.6502161456488071;0.6714419194673689;2.0092372291298743;0.006757825007308179;3413400.663380221;26276839048.73018;721.2226379768058;19.232935109942236;84432.9309239711;805334585.9270797;0.5760075069298146;9603880.45133738;0.4251295195800025;1.3235314270047707;6.539158811108034;1.9684829485539348;-2227325.4638031446;0.010929070532188057
Z010;Z;10099.909913036532;5527.640250652833;25281.776576941615;1768.1401309339694;4.703614840126923;5650.039759897592;9082.934785854086;14923.370819341642;9273.33105944405;23513.636446007644;5.544195509477516;-0.7892976587358094;0.4794257243312248;1.8271648397964573;0.005036344220520109;5207616.392296568;64157926349.20495;1193.9047123956534;21.175707168633213;158594.23212896567;3048579429.0182724;0.49374330909847497;30554806.740637314;0.4474417561611734;1.5474008927973821;6.539158811108034;1.9684829485539348;-3823079.7752638073;0.010929070532188057
