name;class;SG_average_gamma;SG_std_gamma;SG_min_gamma;SG_peak_gamma;SG_kurtosis_gamma;SG_skewness_gamma;SG_centroid_gamma;SG_sbe_gamma;SG_sbw_gamma;SG_rms_gamma;SG_crest_factor_gamma;SG_var_coef_gamma;SG_Q1_gamma;SG_Q2_gamma;SG_Q3_gamma;SG_interquatile_range_gamma
Z001;Z;784.665086182222;640.8749153733763;24.28083890296449;6366.117327921655;3.91896016644115;1.617002121356694;2.63010960689866;0.06421803302674489;97.9727883581421;3.508792148547416;1814.3329836613793;1.2243654219561284;303.50467851657265;595.8558115324382;1093.573239266395;790.0685607498223
Z002;Z;1805.5285982977462;2068.654985661125;0.06865621030402054;27454.615733132745;24.062016716692202;3.71927222204224;2.1157775931938048;0.0544972028704759;76.15535613656002;9.509543301630451;2887.059332115932;0.872803155099696;547.6920195596887;1140.6471478829899;2322.2206253657414;1774.5286058060528
Z003;Z;978.7486963734923;1044.4108035291995;13.264085079970542;12535.042043569156;23.60400435089647;3.916170466399949;2.482730268200737;0.06269320756791122;89.87280408484453;4.957227313833152;2528.639751618833;0.9371300000595298;389.3367831582318;699.4513182463297;1188.4705759296178;799.133792771386
Z004;Z;2570.612807347319;1994.9858118270838;54.54945331671172;39100.39044184321;29.70531113683282;3.196941427025626;7.612732071099537;0.18304234169282563;221.56882990967804;11.269442887088985;3469.5939128134883;1.288536886882947;1209.7455335677796;2070.1444756716414;3456.559304699946;2246.8137711321665
Z005;Z;1059.3394723990211;1194.3554209074125;7.794344827611395;23094.55644009955;37.625812155061915;4.436030723309998;2.6894623527239405;0.06837832234607659;95.33439371881691;5.529083896321405;4176.922772950644;0.8869549665493938;372.908916163614;718.2880946954937;1299.1916898190786;926.2827736554647
Z006;Z;1167.5392719318395;1083.3535835222085;17.290800155309157;12716.418137022541;8.53038002421797;2.493887881029814;2.564620789588292;0.06336064481225535;95.12037812188954;5.516180456855649;2305.294077393399;1.0777084136611481;496.01974893055933;833.1810686082287;1406.7955533691722;910.7758044386129
Z007;Z;2137.873063938866;1755.0585032296228;34.02356729822324;20543.18928060015;16.362718627769667;3.015581832690848;5.973216690936371;0.14261281312435686;192.10924761592926;9.579582503996141;2144.4764708723496;1.2181206837292293;1032.353199686104;1755.0288559118158;2710.8888021259945;1678.5356024398905
Z008;Z;800.3636728601018;721.0345139932214;6.99280614306717;8727.38233918411;13.734468630431689;3.0464260955453795;4.662972009748544;0.11544640304238128;154.30567572181036;3.7308911467627883;2339.221916661028;1.1100213059532213;359.81874604979333;608.7729826247532;976.6694941670332;616.8507481172398
Z009;Z;400.12427075807574;321.54996398765053;3.387791307492381;2978.8325728010714;4.051884177145423;1.740715135046475;2.2948185516114097;0.056581826560723365;85.9082549992398;1.7777893860739231;1675.5823812063231;1.2443611120212812;176.89755898537823;304.1293476747303;528.3820212532801;351.48446226790185
Z010;Z;653.796429339558;664.2326031232607;0.9972398472261323;6894.079010654406;5.721233344027604;2.051835399712621;1.3994173814726565;0.03591129985459605;52.249723243680606;3.2278897417766927;2135.785160635559;0.9842883746828579;170.2050491726018;453.23227815617605;916.0229750898825;745.8179259172807
Z011;Z;647.6689870632308;577.430984526663;10.984144169931854;5270.191715285676;2.9645084751549815;1.6104058050146013;2.373951331136648;0.0590562653760624;87.3317802779913;3.0051366577833347;1753.7278052350216;1.121638783540762;234.14186534484526;451.84887428320064;867.1738894087684;633.0320240639232
Z012;Z;523.0142156653868;434.8385048789664;6.396488206892519;4201.445036491592;4.88734180959886;1.7501634673139665;1.8177254776238345;0.045541521841882704;68.3289655473596;2.3556525927523624;1783.558853040631;1.2027780654129592;207.98207831488108;407.4180323834072;719.3266652069863;511.3445868921052
Z013;Z;367.5675392968709;337.19346425109666;0.9848323994014475;2677.5972980836914;3.4020777691882387;1.6170657255300518;2.012787827893233;0.05029133697522629;75.10039966646616;1.7275273731486853;1549.959404234132;1.0900790740806166;110.62928584272052;264.9251622449233;533.7185463831951;423.0892605404746
Z014;Z;547.9714847622816;745.0902944384316;1.6816699407655065;8395.331327091153;20.858995876879582;3.8338664780536367;1.6752461516400103;0.04431174753707933;59.65991977780057;3.2032285031973937;2620.896797937179;0.7354430581803287;119.27899700443841;312.8679264916254;685.5860290892714;566.3070320848329
Z015;Z;432.845454702905;406.447692530658;6.813300526349353;3374.933778107227;4.624998990944102;1.9061622517982313;3.3449363825524885;0.08390106023874458;115.87014053740289;2.0564042165373775;1641.1820939513639;1.0649475016277914;138.7949935734759;308.62395567098224;576.3861236571611;437.5911300836852
Z016;Z;1234.4545477306583;1492.6255191752891;2.5480269846945935;18809.362848090124;18.837061266655866;3.294010429513141;3.1580673474362384;0.0821757514109013;105.89640557049226;6.708346056359675;2803.8748582831968;0.8270356709516287;311.5526556406909;711.1194600618835;1571.045869995441;1259.4932143547503
Z017;Z;388.29846893635386;301.1668557274272;2.585479324173132;2740.131512759504;3.6960879903441466;1.601482002757436;2.5374671806367513;0.06229505996162928;94.10432918387336;1.7018964929950164;1610.0459246715939;1.2893134206235017;158.58894722778209;324.2289722204341;531.914893831963;373.3259466041809
