name;class;SG_average_beta;SG_std_beta;SG_min_beta;SG_peak_beta;SG_kurtosis_beta;SG_skewness_beta;SG_centroid_beta;SG_sbe_beta;SG_sbw_beta;SG_rms_beta;SG_crest_factor_beta;SG_var_coef_beta;SG_Q1_beta;SG_Q2_beta;SG_Q3_beta;SG_interquatile_range_beta
Z001;Z;7245.413578301861;4680.546429466772;374.68299914223155;31253.353043381416;0.9526353234292029;1.0837853813801877;7.22224905214363;0.36707931141252376;65.48729839165539;37.969060309256626;823.1268508839561;1.5479845542579715;3628.819572379065;6016.229006303274;9959.66542538921;6330.845853010145
Z002;Z;9997.413429382195;6011.452185029404;849.5440162120988;44033.11298754285;1.5479368986013053;1.1838188061465131;3.742865334140925;0.186802012246256;54.08715312119068;51.349891219438014;857.5113197294279;1.663061290627781;5566.5490884679375;8722.616148961562;13094.968236626297;7528.419148158359
Z003;Z;8168.984700335514;5798.82856802183;544.2228730758786;35477.61133865895;2.489329548473167;1.4642629956579807;6.678144197124818;0.323922737332289;70.52489875428172;44.09716153020248;804.532766000371;1.4087301606714375;4207.960216679554;6751.548136836795;10704.58930432548;6496.629087645926
Z004;Z;8874.439188130982;6163.765720369837;668.6502935387823;45340.58725534439;4.60037146538724;1.9222282943237023;7.856103797942823;0.3911829086104793;67.75649647481188;47.56168121344808;953.3007685717452;1.4397755513002366;4671.35345812337;7156.755653216342;11128.127068290818;6456.773610167448
Z005;Z;7615.6688474875245;6783.221153517483;174.76183868368662;49074.64520561592;4.933795118700524;2.1575492733783985;6.32778272617956;0.3043094192062568;70.53679390741233;44.89228021114628;1093.1644588957904;1.1227215912809168;3422.7037460105425;5165.346200547452;9273.384494550632;5850.68074854009
Z006;Z;7985.261358775036;5099.6696984950595;677.4418297561627;35746.51199842871;2.958812298764819;1.5871198651682414;5.316699635285703;0.2682633128717668;62.42612665412619;41.70625310648758;857.1019771821265;1.5658389328884437;4500.168403735333;6557.645783433154;10077.120613818064;5576.952210082731
Z007;Z;8835.655693645078;5347.441058779166;797.6845330772951;42387.13858257679;2.51426802089542;1.4004303066145705;7.186672699546245;0.3648711057690163;65.30033722735807;45.46130267553258;932.3784424987382;1.6523147420464097;5055.969653893372;7801.601475139898;11019.099372282877;5963.129718389505
Z008;Z;4048.794695091908;2475.6149634748635;206.95480421887837;13544.938506860588;0.6467766908826031;1.0363600624794012;7.465595728080617;0.3615287590783559;71.38998096041072;20.889634387600086;648.4047664759873;1.6354702790327589;2179.2061730120577;3524.6762138879967;5253.2789537904655;3074.072780778408
Z009;Z;2302.5824878393155;1681.6813950782785;92.13730816181926;13821.976573829405;3.2836637630172856;1.6105773638493281;3.603165334658925;0.20156787735018064;45.47928636043404;12.550952868237932;1101.269100357152;1.3692144627265355;1075.4764599498606;1831.921737277084;3019.604614223282;1944.1281542734216
Z010;Z;3417.837441014698;2104.543252375164;223.0153770396975;20455.673378595147;4.970865302155083;1.7182294766154675;2.2390281662108484;0.11621549635600373;36.59740576625781;17.66812564237588;1157.7726914921586;1.6240281292187106;1951.048143564773;2968.44506738606;4305.506030978626;2354.457887413853
Z011;Z;4078.4388657794098;3443.7048840899947;77.08104898511391;33687.51670129427;11.639512002736456;2.522194597834349;4.0298758174059754;0.23021355531108792;46.486543009711895;23.496348935605436;1433.7341002901749;1.1843171825268484;1681.1272698401676;3114.9726015757706;5561.357068303347;3880.229798463179
Z012;Z;4304.038250205061;3952.6900435465386;70.25406947317052;31654.808763834288;4.738620757379618;1.9850081871780707;4.050113090850279;0.23200333388173866;46.37525332052116;25.72283966670278;1230.6109735158911;1.0888883779875833;1645.7447674223563;2931.7920441099595;5654.935572361947;4009.190804939591
Z013;Z;3223.9874199112387;2570.0876187821814;75.46109615969063;20236.712090447538;2.9988096733593874;1.499753348516672;4.793156452153446;0.27306964548538953;49.96882821720552;18.148905739414204;1115.0375885472379;1.25442704612495;1298.4342914966444;2457.948673094019;4559.050666436023;3260.616374939378
Z014;Z;3697.8404668979206;2354.81907472115;142.83593721609662;23624.475501338027;3.814121034469874;1.5377500734037335;3.57030567012066;0.18511139207706198;50.611214177343456;19.297484002976837;1224.2256813216534;1.5703289083199763;2077.7035929615145;3100.649981826916;4710.734309312067;2633.0307163505527
Z015;Z;1644.5918249601566;1147.7175849615312;131.1249659048077;13065.375169901065;9.237817929260782;2.4815717712216667;3.7916801567125455;0.19734074902035512;51.97712916622607;8.82776477020807;1480.0320930609837;1.4329237841339508;926.8479684930944;1365.877477858794;1985.9048051446528;1059.0568366515583
