name;class;SG_average_theta;SG_std_theta;SG_min_theta;SG_peak_theta;SG_kurtosis_theta;SG_skewness_theta;SG_centroid_theta;SG_sbe_theta;SG_sbw_theta;SG_rms_theta;SG_crest_factor_theta;SG_var_coef_theta;SG_Q1_theta;SG_Q2_theta;SG_Q3_theta;SG_interquatile_range_theta
Z001;Z;18730.329210346546;11470.429916370607;2760.609750382082;68192.7729019031;0.9613088493064676;1.2143664085659793;0.6885109214505012;0.14599190709797188;2.4351935131103217;246.48562447399217;276.66024356360964;1.632923033130136;10130.627275025217;15386.413404185398;24118.784991072374;13988.157716047157
Z002;Z;84922.86418215491;32174.605661534402;18056.804886282996;194759.83206501073;-0.08164818640964544;0.4687649138647156;1.1675520472466423;0.2441210192400484;3.3024140984057886;1019.1552108859909;191.09928496141282;2.6394376072705827;62132.171003734606;81586.23593326233;106593.10041831825;44460.92941458365
Z003;Z;26237.622697730847;20618.098496234557;1398.752523178309;127913.74330104938;5.069776117257245;2.0713690022642246;0.7550081100599837;0.16006061344519548;2.586017199208948;374.4885396121892;341.5691797498359;1.2725529806990965;12885.228399366955;21195.386018085916;31189.095061144268;18303.866661777312
Z004;Z;13861.789111382155;10116.415304496046;1649.4482677690212;77461.26739012249;5.813225282839607;2.1220024954871413;0.4440446881008212;0.09400368628602465;1.7648964806758383;192.58648356013927;402.2154927914946;1.3702273675163918;7257.67935816143;11285.751054336004;16775.984785742672;9518.305427581243
Z005;Z;28640.81585059384;16684.402672279542;2482.4501143013686;77355.76411134467;-0.23115936449471564;0.7534900983316131;0.8311696748290757;0.17606757072170393;2.744538909711696;371.9825070232257;207.95538137097066;1.7166221897880345;15682.834343695533;24501.766523091603;39065.39506257907;23382.560718883535
Z006;Z;39647.387310330254;34673.78956666108;3863.4044079007713;255413.78471954464;11.763009395722879;3.0650886637292647;0.9755585140771312;0.20491481818257515;3.0302342238481486;591.0954484257828;432.10243861590834;1.1434396933772506;20926.649271407136;31385.414169796255;45040.73585733757;24114.086585930432
Z007;Z;19217.764216114283;14366.352973412148;1684.589001568923;97883.3302571618;5.755200759086666;2.0756155212383365;0.5776921706742238;0.12209283913108043;2.162808401486993;269.27333860686537;363.5091790504735;1.3376926107607585;10054.833240286338;15411.97361829961;24058.347774084174;14003.514533797836
Z008;Z;9607.05231408228;5050.496053388979;730.5088494748164;27574.92062484309;-0.5339763857148387;0.4152457942800196;0.6230022424842243;0.1319756756905525;2.276498026480953;121.80576919597053;226.3843560683766;1.9021997468220504;5302.014650008977;9226.719563679308;13166.81317179779;7864.798521788814
Z009;Z;14296.535708822808;12181.710694568115;699.2610026800019;72563.4545598236;4.936248810915732;1.97942096230196;0.9084745141153624;0.19254115902856458;2.8831394418119243;210.78747899181056;344.24935915023116;1.1736065703150957;6089.251181873888;10292.15543723921;18906.454478150456;12817.203296276568
Z010;Z;49836.631574420164;37056.98520856441;4079.639937253624;242097.6814629468;5.128460322581033;1.9675820437518028;1.2351498677511028;0.2607041609514188;3.3182403741043554;696.9626438200519;347.3610581709366;1.3448647075289382;24830.101390727345;41252.78696519253;62838.687369463674;38008.58597873633
Z011;Z;21140.371297916154;14741.635016853015;1840.5779963295886;94066.21550921217;3.2940225980551476;1.6327363495853346;0.86954707939528;0.18358457534498074;2.829600937208703;289.23400564794713;325.2252974144011;1.4340587915619902;10409.378540812595;17611.87722575527;27033.648286656986;16624.26974584439
Z012;Z;21780.09530934432;13691.612181808528;1810.8182981116984;87429.5381749984;2.0311660294016596;1.2684026866455502;0.8539711026033877;0.18061945300534926;2.793774760290664;288.71137213599906;302.826790396792;1.5907619219804239;10929.682196120586;18767.069887934023;28784.541599971646;17854.85940385106
Z013;Z;12158.448064672273;7600.6791193185045;320.8997819270092;47281.71958936835;1.5645368414971523;1.0958006875702744;0.7484800539817242;0.15843271892572117;2.577121256861633;160.9160577266272;293.8284734124736;1.5996528565150674;6354.690371919995;10732.641145250214;16630.712793390652;10276.022421470658
Z014;Z;26632.782193069408;22275.42130317841;1768.823044272836;124238.08520830225;1.2917964117451728;1.3564599177979324;0.9615191362783119;0.20511062442136946;2.9416167034021847;389.64872793460245;318.84637700948434;1.1956129507310043;10412.576285091036;17214.80904457206;36922.03160203066;26509.455316939628
Z015;Z;10338.542059282921;10537.306449511225;200.07437531483467;73155.1254820807;9.731704865343664;2.7437230277237545;0.8971667797713011;0.19085545939519902;2.848540477787298;165.6679781450813;441.5767386140016;0.9811370779448554;3557.0582182289827;7098.104764645748;13966.803601563266;10409.745383334284
Z016;Z;29375.91062865436;22618.174066371997;2547.3122043049634;118845.27554279655;1.5469374998352876;1.4466824853140725;0.8759254004153123;0.18623899489912737;2.8133750445203356;416.069821233146;285.63781720712984;1.298774628864916;13475.724828013575;21114.93793905965;37036.88069166738;23561.155863653803
Z017;Z;11240.644172298591;7390.326947411872;1432.878472102207;51139.783803932914;6.290972778887097;2.199373589472633;0.8115181109987457;0.17174726555525868;2.7093679519346607;150.9704183903293;338.74042576813025;1.5209941660612347;7009.3526724992225;9380.635701795754;13170.833245637587;6161.480573138364
Z018;Z;40308.30989031901;42084.40940804579;1433.6101488096651;228394.47501292927;4.730103409354538;2.1589347102412524;0.9104397711512261;0.19379870577175878;2.8686185648072238;653.9800027598889;349.23770459199363;0.9577967341657118;14166.725509404963;25911.699390562804;49054.5876902311;34887.86218082614
Z019;Z;12214.038781376003;7110.909476398702;557.2220985819193;54996.67149936233;2.725077986578034;1.3221156502319762;0.8252810115759754;0.17490526412595023;2.7312882197469928;158.6100587838531;346.74138526302045;1.7176479073337556;6633.853336180146;10953.449200697301;15741.882469167358;9108.029132987213
Z020;Z;7614.736133732454;6889.571612307178;645.0867928132545;46735.78583204019;5.38957134252292;2.079633917240616;0.7407442912038471;0.15729946049720694;2.5492864492509835;115.2428185512759;405.5418499786662;1.1052553862898935;2819.5925470229126;5558.7508569279935;9757.61537871751;6938.022831694598
Z021;Z;10655.439170027597;7402.804251216581;606.7962636841137;42938.275319334934;1.4264645400984453;1.213710447388147;0.8350930992754793;0.1781367302375576;2.72563042415681;145.6073420935055;294.89086677896375;1.4393787554596593;4707.985635076288;8752.769610148676;14701.325669673417;9993.340034597128
Z022;Z;10983.53545435469;7878.28181432282;671.5196514535533;56629.128742658024;4.510506691571826;1.8330118061765548;0.8412574552576901;0.1788054716170442;2.7510406738135957;151.6929549193394;373.3141646081703;1.394153663605493;5428.962216380578;9181.410046709472;13578.740407708006;8149.778191327428
Z023;Z;28232.57052091634;22745.228845361067;1643.7485207340894;116577.8928098041;1.4410929401728385;1.453544326223612;0.7645121484819377;0.16205503002531838;2.6068176591662326;406.87162356975927;286.52254435192015;1.241252427612942;12415.898534312259;18538.479134164605;37976.85924311777;25560.96070880551
Z024;Z;8336.560032747211;5146.257156077017;1054.326379391955;32029.991853541356;1.9353625177085343;1.4079199822522557;0.45750356368195755;0.09686481550467543;1.8069899836462229;109.94743184943506;291.320964162256;1.619926828355806;4825.681996611825;6627.593699821181;10845.130890069686;6019.448893457861
Z025;Z;35431.60943186489;26364.770351304214;1156.4818308636911;141677.53717923927;0.9660986092349453;1.0902994032509135;0.9112930669145323;0.19321157660453755;2.8863859023651104;495.63587412947;285.8500455159351;1.3438997935406691;14197.74342875403;29616.0625708823;50480.568696684924;36282.82526793089
Z026;Z;36574.48767804358;25611.632109916827;2110.120586504869;202564.78641869343;6.8875022649046365;1.8434230753719463;0.7850041662419048;0.16637877925104494;2.6502306686149177;501.0880916541697;404.2498510591133;1.4280420521846373;16616.70986146723;32167.779581751056;50977.18663442205;34360.47677295482
Z027;Z;9768.293545414155;6193.768625536796;1180.8133145389688;40599.772117302535;2.4248367168113605;1.5598810810249402;0.44376236072741915;0.09342995985782374;1.775246046442822;129.80431337318944;312.77675650559894;1.5771163141515583;5674.648567581407;7912.799910651109;12208.398659485916;6533.750091904509
Z028;Z;76657.22164842681;29160.158243924554;15369.007661407635;170081.235502007;-0.3920648160452518;0.3037151843412003;1.434491565013778;0.3003097839635456;3.4924317835466896;920.4262277684578;184.78529877876602;2.6288342130104234;54823.398715228104;74785.28093836225;96695.17122095758;41871.772505729474
Z029;Z;14781.795836875777;12281.582410060091;1662.2291317423023;85061.20680948738;9.037538100668186;2.6008585805322673;0.570247467950296;0.12146689042612313;2.1217894991744726;215.6761830891654;394.39313878399435;1.2035742091969932;6997.233820022694;11507.300212272818;18874.798515191214;11877.56469516852
Z030;Z;105059.8176630477;64538.903273111464;2721.3692159342145;362381.4156442524;2.5302032768305294;1.4470303864039025;1.219213112614138;0.25512680357549805;3.3497963039459164;1383.7321909270108;261.88695906646524;1.6278525406368078;60797.91126908907;92877.6588130866;129899.9097612466;69101.99849215752
Z031;Z;10144.758121869647;6651.446020822779;549.2841889051813;41517.93405043568;1.7629342130043053;1.3500255156740415;0.7697285793027719;0.16228932792113557;2.6366010207531145;136.13865890428346;304.96799648677427;1.525195888249086;5491.075625535659;8537.690746094753;12629.39668033463;7138.321054798971
Z032;Z;6210.767225493331;4021.28064430549;852.3048837400314;26225.810000846086;2.5797135704736744;1.4082472269790232;0.6095023136190364;0.12892603280812817;2.245596741104352;83.03464084672791;315.8417948631321;1.5444749508563544;3300.455599714592;5361.298867591538;8047.258055364219;4746.8024556496275
Z033;Z;98969.09605900344;31236.739547462934;33181.9148781922;223912.29568456282;0.7324069352303364;0.68026051325407;1.2900036247135573;0.269561533414749;3.4173297383776347;1164.6891171395953;192.2506979669198;3.168355516382367;78168.0159299423;95133.27831705779;117281.63544380291;39113.61951386061
Z034;Z;38105.74594608569;22605.685605170656;3876.9482350685894;143330.44269480585;2.758725888044115;1.4281516192459869;0.9860437581986051;0.20761678962643737;3.03584282659984;497.22971795394096;288.2579972987108;1.6856708799563977;22250.324377732057;32110.164185219983;50027.69133161055;27777.366953878492
Z035;Z;49191.352748961006;48888.8381068458;2845.705865823501;282389.91178644635;2.400323983385081;1.6894748169225298;1.0444362713699458;0.22223913939851797;3.070879961328774;778.3198720726821;362.8198661232124;1.0061878059252312;15629.320195262615;32069.592050956777;57917.85438829362;42288.53419303101
Z036;Z;27040.324210934556;17351.949514809603;2379.6600565095155;95568.01560733354;0.8386251813220227;1.059729467847163;0.7677699460128177;0.1636011996630234;2.5953523188524987;360.5672282952561;265.0490896224107;1.558345025603958;14680.038959838555;23374.30800268974;34433.736660852635;19753.69770101408
Z037;Z;22657.90223100506;14987.96322264612;3470.8048594999004;128316.97555988286;8.366385559733851;2.336579833746439;0.7384320742684554;0.15713262465925437;2.5372279505122437;304.8763169697088;420.88207058940526;1.511739913851004;13090.081643762493;19156.671916642234;27807.200360190975;14717.118716428482
