name;class;mean_psBeta;std_psBeta;peak_psBeta;min_psBeta;peak_frequency_psBeta;Q1_psBeta;Q2_psBeta;Q3_psBeta;Q_range_psBeta;amplitude_psBeta;spec_centroid_psBeta;kurtosis_psBeta;skewness_psBeta;coef_var_psBeta;flatness_psBeta;1st_moment_psBeta;2nd_moment_psBeta;rms_psBeta;crest_factor_psBeta;line_length_psBeta;nonlinear_energy_psBeta;Hurst_exponent_psBeta;Hjorth_activity_psBeta;Hjorth_mobility_psBeta;Hjorth_complexity_psBeta;Shannon_entropy_psBeta;Renyi_entropy_psBeta;spectral_entropy_psBeta;approx_entropy_psBeta
Z001;Z;6658.952542693144;6040.591123094362;39501.16599722687;515.3840923073406;22.96720039052966;2648.9400500042816;5186.482883143597;8587.414289436922;5938.47423943264;38985.781904919524;20.430844635534807;7.043639578181567;2.322807362602027;1.1023676999482162;0.005908656736543703;57548314.50527398;729606541762.113;437.13658349470467;90.36344128746518;483568.29296122666;8753471903.640945;0.4887685195386162;36488741.11640641;0.3320718371207138;1.5233538452313025;8.724513853119952;2.6263403673750423;-11165784.690046873;0.0023724803536309125
Z002;Z;9716.910910444814;5329.826828199581;30178.152386417154;1712.156842008872;21.73832804491091;6220.525379554325;8279.41870928976;12045.4940637295;5824.968684175175;28465.99554440828;21.166079591094544;1.4508328005912983;1.2615502396666363;1.8231194415236178;0.005218951451468727;86997948.80735111;1106996579560.1511;538.8574982792893;56.00395741505642;673622.4925251369;12431776360.481304;0.4726882503978609;28407054.018596;0.46871705387937784;1.4580212991539316;8.724513853119952;2.6263403673750423;-16634138.150964987;0.0023724803536309125
Z003;Z;8147.094004066207;8656.16579135411;53679.137329327656;383.3780497237116;23.22144984134733;3152.5937905189803;5108.8927411973655;9271.376706910913;6118.782916391932;53295.759279603946;21.858797541664995;8.704823993881568;2.727987098109694;0.94118969072931;0.005204754791532986;75330241.95803772;1370412339067.2153;577.9730353524845;92.87481257078147;575631.994980011;13233239181.713612;0.4874710328240211;74929206.20740913;0.2811138347637831;1.5618629304923395;8.724513853119952;2.6263403673750423;-14066707.974579204;0.0023724803536309125
Z004;Z;8962.157113082287;5553.267303634048;31233.87741345763;971.4658838704111;22.034952404198197;4372.829981395831;7810.33918540619;12537.386422309395;8164.556440913564;30262.411529587218;20.61601714603936;0.7729671005607055;0.9155455431048665;1.6138530027570377;0.005290619619802926;78155165.5318237;971568431866.0532;512.6278606926774;60.92895023546618;668780.6530393597;10419634730.476416;0.5276001886421948;30838777.74561098;0.4154484827099263;1.539057280859386;8.724513853119952;2.6263403673750423;-15291006.747936452;0.0023724803536309125
Z005;Z;7789.068093963235;7323.523849031906;33317.31027295295;644.7180039960531;24.068948010739568;3257.449848844609;4720.317731177451;8984.382414977423;5726.932566132814;32672.592268956898;21.472983939227852;1.670868798004423;1.62939590584514;1.0635683387571502;0.00535747664527828;70748667.91720402;1082334371185.4674;519.8280842834251;64.09294010899842;564118.2193276519;10887494621.625494;0.5250460943038958;53634001.56733911;0.30833699570395445;1.436727096657849;8.724513853119952;2.6263403673750423;-13333691.099921146;0.0023724803536309125
Z006;Z;8186.540885674455;4994.558562451684;27341.803715054528;514.7066514786808;22.670576031242373;4505.808314298479;6791.284233184217;11792.597078880804;7286.788764582326;26827.097063575846;20.16320154026648;0.42008932450996284;0.8391304900644336;1.6390919804644195;0.005546621949397171;69823287.61549045;777740587861.1289;466.27406714218176;58.63891140812072;645172.6567146175;11875987610.43504;0.5042241169852361;24945615.233759437;0.47914616269472016;1.6596191700134184;8.724513853119952;2.6263403673750423;-13827836.19912946;0.0023724803536309125
Z007;Z;9161.989843924246;5211.191141831267;26032.979208059616;532.1981115412875;19.95858188918721;5333.508359946569;8664.87924755357;12039.51229619667;6706.003936250101;25500.781096518327;20.016350814093087;-0.02770101818827131;0.6776700368163641;1.7581373614141944;0.005266349130698642;77573802.01449463;923791942049.0247;512.488415407032;50.79720521562137;642656.4486836481;11460699547.29967;0.47730360400904925;27156513.116700657;0.4351596315556823;1.5103169232589686;8.724513853119952;2.6263403673750423;-15629654.532535622;0.0023724803536309125
Z008;Z;3999.4419009123585;3033.1210065832665;15020.006814817398;634.6444251302848;24.662196729314136;1851.9568449633066;2785.5911792519755;5072.061733546021;3220.1048885827145;14385.362389687112;22.116589016941067;1.3597757768856127;1.4146955211643018;1.318589628383349;0.008219083618921324;37416047.42269595;243049892013.51642;244.05633655403264;61.54319542320941;267077.0502054947;2208986089.8888493;0.48443194913522986;9199823.040576689;0.3134728915596905;1.4668808174655106;8.724513853119952;2.6263403673750423;-6275683.053821547;0.0023724803536309125
Z009;Z;1990.5065764516294;1634.246693857481;10156.325490038676;261.03086472911997;12.034474005369784;911.3870999791662;1405.0234925019763;2361.7397819432863;1450.3526819641202;9895.294625309556;18.073601968864704;3.52683357159781;1.8812653427815018;1.2179963918135466;0.012129270109468359;15217688.773999192;44189994937.21274;125.22205984782637;81.10651990856044;134210.1753815763;628195321.5454435;0.5487999799953667;2670762.256384107;0.35774575090278815;1.4002982109450217;8.724513853119952;2.6263403673750423;-2876479.3528449577;0.0009125773741418541
Z010;Z;3086.1395848510724;1963.616763903503;10800.645494285747;298.3670754903402;22.458701488894313;1543.2800445331245;2761.6099040089275;3869.613983903594;2326.3339393704696;10502.278418795408;20.069263744926104;0.9244359469325878;1.084144978701801;1.5716608462417532;0.00968487466702224;26199160.346299928;109682333739.5333;177.8519607296597;60.72829025879029;211008.26166031515;1349262854.2494001;0.5404346233897859;3855790.7954828655;0.39619148279826055;1.4886514481481723;8.724513853119952;2.6263403673750423;-4663050.074341189;0.0023724803536309125
